가수명,노래제목,발매일,가사,좋아요수,순위
아이유,얼음꽃 (Feat. 김세황),2011-06-21,발길이 닿는 곳  하나하나 피어나 어느새 환해진 그 곳에 넘어설 무엇도  뒤쳐지는 걱정도 어느새 멀어진 그 곳에 난 그런 꿈을 꾸어요 빛날 필요없이 아름다운 나를 Dream 나 울어도  슬픈게 아니죠  아픈마음이 다 녹아내릴 뿐 나를 눈이 아닌 맘으로 봐요 그 안에서 또 피어날 나를 눈길이 없는 곳  박수갈채 없는 곳 그 곳에 홀로 서 있을 때 나만이 오롯이 나를 바라보는 곳 거기서 웃을 수 있을 때 난 그런 나를 믿어요 날 사랑해줄수 있는 내 모습을 Dream 나 울어도  슬픈게 아니죠  아픈마음이 다 녹아내릴 뿐 나를 눈이 아닌 맘으로 봐요 그 안에서 또 피어날 나를 어디까지 온건지 뒤 돌아보면 저 많은 발자국들 그걸로 됐어 난 잘 하고 있어 내 삶이니까 내 길이니까 Dream 나 울어도 슬픈게 아니죠 아픈마음이 다 녹아내릴 뿐나를 눈이 아닌 맘으로 봐요그 안에서 또 피어날 나를Dream 나 손을 내밀면놀라지 말고 날 말없이 일으켜줄래요나와 잠시 함께 길을 걸어요한 사람만큼 넓어진 길을,64875,865
종현 (JONGHYUN),하루의 끝 (End of a day),2015-09-17,손을 뻗어줘 내 목을 감싸줘좀 더 아래 내 어깰 주물러 줘지쳐버린 하루 끝이미 해가 떴어도난 이제야 눈을 감으니남들보다 늦게 문을 닫는나의 하루에장난스럽게 귓볼을 간지럽히며하루 종일 다른 세상에있었어도 우린항상 하루 끝은 함께 하니까너의 그 작은 어깨가너의 그 작은 두 손이지친 내 하루 끝포근한 이불이 되고수고했어요 정말 고생했어요네게도 내 어깨가뭉툭한 나의 두 손이지친 너의 하루 끝포근한 위로가 되기를자연스레 너와 숨을 맞추고파빈틈없이 널 감싸 안는욕조 속 물처럼따뜻하게 또 하나도 빈틈없게서툰 실수가 가득했던창피한 내 하루 끝엔너란 자랑거리 날 기다리니너의 그 작은 어깨가너의 그 작은 두 손이지친 내 하루 끝포근한 이불이 되고수고했어요 정말 고생했어요네게도 내 어깨가뭉툭한 나의 두 손이지친 너의 하루 끝포근한 위로가 되기를자연스레 너와 숨을 맞추고파맘껏 울 수도또 맘껏 웃을 수도 없는지친 하루의 끝그래도 그대 옆이면어린아이처럼 칭얼대다숨 넘어가듯 웃다나도 어색해진 나를 만나죠수고했어요 정말 고생했어요그댄 나의 자랑이죠,143694,866
조이 (JOY),여우야,2017-03-20,창 밖엔 서글픈 비만 내려오네 내 마음 너무 안타까워 이젠 다시 볼 수가 없기에 처음 만났던 그날도 비가 왔어 우산도 없이 마냥 걸었었지 너의 눈빛 촉촉히 빛났지 이 밤 너에게 주고픈 노래 너만을 사랑하고 있다는 걸 들어줄 사람도 없이 빗속으로흩어지네 너의 이름을 불러보지만 닿을 수 없다는 걸 알고 있어 긴 밤을 꼬박 새우고 빗속으로 어느새 새벽이 오고 있어한때는 너를 만나서 행복했어 그런 꿈 속에 빠져 있었지만 이런 아픔 느낄 줄 몰랐어 이별을 느낄 때면 난 생각해봐 우리 사랑을 위한 시간인걸 너는 이런 내 맘을 아는지 이 밤 너에게 주고픈 노래 너만을 사랑하고 있다는 걸 들어줄 사람도 없이 빗속으로 흩어지네 너의 이름을 불러보지만 닿을 수 없다는 걸 알고 있어 긴 밤을 꼬박 새우고 빗속으로 어느새 새벽이 오고 있어 이 밤 너에게 주고픈 노래너만을 사랑하고 있다는 걸들어줄 사람도 없이 빗속으로흩어지네너의 이름을 불러보지만닿을 수 없다는 걸 알고 있어긴 밤을 꼬박 새우고 빗속으로어느새 새벽이 오고 있어,49209,867
전건호,롤러코스터 (Feat.예지 of 경서예지),2022-03-20,I still haven't forgotten아침에 혼자 샤워할 때 나도 모르게매일 흥얼거리는 그 노래는니가 좋아해서 들려주던 노래여전히 널 못 잊었어저녁에 늦게 집에 오면 침대에 누워이어폰을 꽂고 듣는 노래는너와 버스에서 나눠 듣던 노래니 손잡고 듣던 노래너와 자주 가던 그 카페에 가면니가 좋아하던 허니 자몽 티가이상하게 커피보다 좋아또 그걸 주문하고니가 좋아했던 그 드라마 장면만끝없이 바보처럼 돌려 보고너 때문에 팬이 됐던아이유 공연도혼자 갔던 날 많았어어쩌다 놀이공원에 놀러 가면너와 둘이서 탔던 롤러코스터를보다 멍하니 슬픈 눈 짓고서좋았었던 날을 그려주말마다 빠지지 않고서 매번너와 자주 갔었던 한강공원을참 애처롭게 서성이다가니 모습 그려보고니가 좋아했던 그 드라마 장면만끝없이 바보처럼 돌려 보고너 때문에 팬이 됐던아이유 공연도혼자 갔던 날 많았어어쩌다 놀이공원에 놀러 가면너와 둘이서 탔던 롤러코스터를보다 멍하니 슬픈 눈 짓고서좋았었던 날을 그려넘쳐흐르게 너만 가득한하루하루를 참고그냥 괜찮은 척 살아너를 기다리며지금 생각하면 아프고 후회돼내가 받은 만큼 못 해준 날들과힘이 들 땐 착했던너보다 먼저 날생각한 이기적인 나다시 돌아갈 수 있을까 서로를마주하면 이유 없이 웃음 나고종일 기다려도 지루하지 않던행복했던 나날들로다시 봄날이 온다면더 사랑할 텐데,3869,868
토이,뜨거운 안녕 (Vocal 이지형),2007-11-29,조금 더 볼륨을 높여줘비트에 날 숨기게오늘은 모른 척 해줘혹시 내가 울어도친구여 그렇게 보지마맘껏 취하고 싶어밤새도록 노랠 부르자이 밤이 지나면 잊을게너의 말처럼 잘 지낼게가끔 들리는 안부에모진 가슴 될 수 있길어떤 아픔도 견딜 수 있게소중했던 내 사람아 이젠 안녕찬란하게 반짝이던 눈동자여사랑했던 날들이여 이젠 안녕달빛 아래 타오르던 붉은 입술떠난다면 보내드리리뜨겁게 뜨겁게 안녕널 품에 꼭 안고서처음 밤을 새던 날이대로 이 세상 모든 게멈췄으면 좋겠어수줍은 너의 목소리따뜻한 너의 체온이 순간이여 영원하라이 밤이 지나면 잊을게너의 말처럼 잘 지낼게앞만 보고 달려가자바보처럼 울지 말자너를 위해서 나를 위해서소중했던 내 사람아 이젠 안녕찬란하게 반짝이던 눈동자여사랑했던 날들이여 이젠 안녕달빛 아래 타오르던 붉은 입술떠난다면 보내드리리뜨겁게 뜨겁게 안녕부디 행복한 모습이길언젠가 우리 다시 만나도모른 척 스쳐 갈 수 있게멋있게 살아줘뜨겁게 뜨겁게 널 보낸다안녕,40270,869
이수영,라라라,2002-09-11,어느새 잊었나봐요그대가 떠났다는 걸내가 이래요 철없는 바보야아직도 전화가 오면그대일거란 생각에내 목소릴 먼저가다듬고는 하죠습관이란 무섭죠생각처럼 안되요이별보다 사랑에더 익숙하니까잊어 볼게요안되도 해볼게요사랑도 추억도 없었던 것처럼라라라라라라라라라라랄라라랄라랄라라라랄라쇼핑을 하며 무심코그대 몫까지 사다가다시 말없이 내려논 바보야좋은 영화가 나오면꼭 같이 보러가야지나도 몰래 또 그런 생각해요그댄 그랬던적 없었나요한 번 이라도헤어진 그 날로 끝인건가요변해볼게요 그대가 그랬듯이이제는 또 다른 사랑도 할게요시간이 흘러 그렇게 살다보면누구든 내겐 또 익숙해지겠죠잊어볼게요안되도 해볼게요사랑도 추억도 없었던 것처럼라라라라라라라라라라랄라라랄라랄라라라랄라그대도 날 잊고 나도변해볼게요 그대가 그랬듯이이제는 또 다른 사랑을 할게요시간이 흘러 그렇게 살다보면누구든 내겐 또 익숙해지겠죠잊어 볼게요 안되도 해볼게요사랑도 추억도 없었던 것처럼라라라라라라라라라라랄라라랄라랄라라라랄라,36037,870
김범수,사랑해요,2016-08-04,아무 말 못한 채오늘도 그대만 바라봐요  가슴에 맺힌 못다한얘기들이 그대를 기다리죠 한 걸음 다가서면가슴 깊이 참았던눈물이 흐를까봐 혹시 그대도 나와 같다면조금씩 다가갈게요 그댈 보면 자꾸눈물이 나요한없이 흘러요 결국 내 마음만 아파요 참아왔던 그리움에 지치면내 손을 잡아 봐요그대 나 사랑해요 가끔은 소리없이불어오는 바람에귀를 기울여 봐요 그대 나를 부르는 소리가바람에 실려 올까 봐 그댈 보면 자꾸눈물이 나요한없이 흘러요 결국 내 마음만 아파요 참아왔던 그리움에 지치면내 손을 잡아 봐요그대 나 사랑해요 하루를 견디다너무 힘들면 찾을 사람그게 나란 걸 그댄 알잖아요  그댈 생각하면눈물이 나죠또 웃음이 나죠 결국 내 사랑은 그대죠간절하게 바라고 늘 바랬던 이렇게 그대 곁에서서 사랑할래요,59137,871
AKMU (악뮤),Be With You,2016-10-11,괜시리 웃음이나 또 생각이나사랑이란게 비슷한걸까낮의 해와 밤의 달도내맘을 모르죠 be with youcry cry don’t ever cry슬프지않길 바래 baby사랑 이제야 알겠죠fly fly forever fly너와 둘이 온종일 평생I want you I want your love그대 맘 속엔 내가 없나요나 혼자 쉽게 될 일이라면마음 졸이며 애태우지 않고내꺼인듯 하고 싶은데with you어색하게 걸어 가긴 먼거리우리 사이에 적당한 보폭은얼마정도일까너와 내눈이 마주친 그순간부터 난 고민하는걸 매일밤 어떡하면 널 헷갈리지 않게 할까괜시리 웃음이나 또 생각이나사랑이란게 비슷한걸까낮의 해와 밤의 달도내맘을 모르죠 be with you둘만의 시간이당장은 어쩔 줄 몰라도바로 내 앞에 그대 품이 있고내 꺼인듯 느끼고싶어널 보면 기침이 나온듯콜록했지만 실은웃음이 나온 걸 가린거야때때로 피곤해그런듯 하품했지만너무 좋아서 눈물이 흐른거야난 감출 수 없어 나의 감정왜냐면 난 너가너무나도 간절 하니까당당하게 우리가하나라고 말해줘Baby I just want to be your love널 사랑할거야한 해를 보내고다시 오늘이 와도 wo괜시리 웃음이 나 네 곁이라면가슴 아픈 날도 울고 싶지 않아눈 감고 기다릴거면먼저 다가가도 되죠 be with youcry cry don’t ever cry슬프지않길 바래 baby사랑 이제야 알겠죠fly fly forever fly너와 둘이 온종일 평생I want you I want your love,29983,872
한동근,미치고 싶다,2017-05-05,환상을 본 적이 있나요전 있어요아지랑이 같은 색깔이죠텅 빈 이 벤치에 그대가보이네요투명하고 연기 같긴 해도넋이 나간 날 보면서모두 미쳤냐고 해요뭐 그래요그대만 보인다면야미친 게 꼭 나쁘지는 않네요그래요차라리 더 미쳐서 보고 싶죠그대가어딨어 어딨어 도대체어디서 뭘 하고 있어 난이렇게나 망가지고 있는데갈수록 더 많이 보여요맘 아프게돌아올 것 같은 모습으로그대 보인다고 하면정신 차리라고 해요뭐 그래요그대만 보인다면야미친 게 꼭 나쁘지는 않네요그래요차라리 더 미쳐서 보고 싶죠그대가어딨어 어딨어 도대체어디서 뭘 하고 있어 난이렇게나 망가지고 있는데진짜 같은 네가 안아주는 모습더 진짜 같은 너와 입 맞추는 느낌이 모든 게 이 모든 게난 그리워서오늘도 미칠 듯이 취하고만 싶어요미친 게 꼭 나쁘지는 않네요그래요차라리 더 미쳐서 보고 싶죠그대가어딨어 어딨어 도대체어디서 뭘 하고 있어 난이렇게나 망가지고 있는데,79636,873
소수빈,See you again,2022-07-21,난 아직 그대의 마음속에머물러 있기를 간절해우리를 갈라놓는대도우린 서로를 필요해i want to see you again네 마음도 모르고i want to see you againif you want me again남김없이 널 내 삶 속에끌리는 게 있길 난 원해내 몸을 갈라놓는대도여전히 그대가 필요해어질러진 내 마음을 비워내마주치기를 난 늘 기도해내 속을 망가트린대도우리는 서로를 필요해i want to see you again네 마음 모르고i want to see you againif you want me again나의 머릿속에 가득하네매일을 달래줄 너If you have enough today널 더 알고 싶어날 어루만져줘나에게 남은 건너의 한순간 일 뿐이야i want to see you again네 마음 모르고i want to see you againif you want me again,952,874
성시경,태양계,2011-09-15,나의 사랑이 멀어지네나의 어제는 사라지네태양을 따라 도는저 별들처럼 난 돌고 돌고 돌고그대를 향한 나의 이 어리석은사랑해 사랑해 사랑해머물지 못 하는 내 두 눈에 고인눈물이 흐르네나의 사랑은 떠나갔네나의 어제는 사라졌네지구를 따라 도는저 달 속에 비친 너의 얼굴 얼굴그 얼굴 위로 흐르던 너의 미소사랑해 사랑해 사랑해머물지 못하는 내 두 눈에 고인눈물이 흐르네,32825,875
WINNER,FOOL,2017-04-04,내 눈앞에서 사라져독하고 모진 말들도서슴없이 내질렀던내 모습은 누가 봐도I was a fool이제 와 미안해봤자달라지는 건 없잖아I know욕이라도 괜찮아그마저 아깝겠지만네 목소리라도 듣고 싶어멍청한 놈 어리석은 놈다 내 탓이란 걸 이젠 알아모자란 놈 바보 같은 놈다 내 탓이란 걸 이젠 알아Baby I was a foolI was a foolI said이기적이야 여태 난 항상나 밖엔 모르는 것 같아미친 것 같아 나라는 사람널 밀어내 버린 건 나야Oh I was a foolOh baby I was a fool이제 와 후회해봤자달라지는 건 없잖아I know잠깐이라도 괜찮아마지막 모습이라도다시 한번 널 볼 수 있다면멍청한 놈 어리석은 놈다 내 탓이란 걸 이젠 알아모자란 놈 바보 같은 놈다 내 탓이란 걸 이젠 알아Baby I was a foolI was a fool눈부시게 빛나던 넌 멀리멀리로흩어져버린 기억들을 더듬고네가 그리워 매일매일Yes I know I’m late late아무 일 없는 듯이 돌아와 줘 Baby눈부시게 빛나던 넌 멀리멀리로흩어져버린 기억들을 더듬고네가 그리워 매일매일Yes I know I’m late late아무 일 없는 듯이 돌아와 줘 Baby OH멍청한 놈 어리석은 놈못난 놈이란 걸 이젠 알아Fool멍청한 놈 어리석은 놈다 내 탓이란 걸 이젠 알아모자란 놈 바보 같은 놈다 내 탓이란 걸 이젠 알아Baby I was a foolI was a fool,84539,876
웬디 (WENDY),Goodbye,2018-11-06,눈 감으면 더욱 선명해지는 게어떤 말로도 설명이 안 됐어유리 위를 혼자서 걸어가그댈 혹시나 아프게 할까내가 여기 있는데나를 몰라보나요너무 보고 싶어한참 기다렸는데손이 닿지 않네요그냥 멍하니 서 있네요안녕 안녕 안녕 goodbye꿈인듯해 자꾸만 같은 일들이나를 조금씩 무너지게 만해잠시나마 나를 기억해주던 순간기적 같았어 전부 꿈만 같아내가 여기 있는데나를 몰라보나요너무 보고 싶어한참 기다렸는데손이 닿지 않네요그냥 멍하니 서 있네요안녕 안녕 안녕 goodbye시간이 지나도 변치 않는나만 아는 그대의 진한 그 향기가날 알아보나요 나를 찾았나요하얗게 또 밤이 번져가요그댈 아프게 한 날이 지나고 또다시안녕 안녕 안녕 goodbye안녕 안녕 안녕 goodbye,86929,877
이문세,소녀,1985-11-20,내 곁에만 머물러요떠나면 안 돼요그리움 두고 머나먼 길그대 무지개를찾아올 순 없어요노을 진 창가에 앉아멀리 떠가는 구름을 보며찾고 싶은 옛 생각들하늘에 그려요음 불어오는 차가운 바람 속에그대 외로워 울지만나 항상 그대 곁에 머물겠어요떠나지 않아요노을 진 창가에 앉아멀리 떠가는 구름을 보며찾고 싶은 옛 생각들하늘에 그려요음 불어오는 차가운 바람 속에그대 외로워 울지만나 항상 그대 곁에 머물겠어요떠나지 않아요,25474,878
어반자카파,고백,2021-09-26,사랑해요 그대이젠 내가 아닌 그대지만사랑해요 그대만질 수도 없는 사람이지만힘들다는 말을 들었죠슬픈 목소리 볼 순 없었죠내가 할 수 없는 그대 바램들그댈 포기하게 하는 얘기들그대 그렇게 힘든가요기다리기 너무 지루한가요그대에게 주기로 한 작은 선물은내 손에 있는데 그댄 이별을 주나요견딜수 있나요내가 없는 세상의 하루를견딜수 있나요시린 아침 홀로 남은 시작을그대없는 젖은 가슴을안고 살아야 하는건가요그대라도 괜찮기를 바래요그대 아직 나의 사랑이니까하늘이 보내준 사랑을그토록 애태워 찾은 사랑을더는 이해시킬 힘도 참아낼 힘도남아있지 않아 떠난 그댈 또 보내요 이별에는 서툰 우리였기에쉽게 헤어질 수 없었던거죠그랬던 거겠죠우리 더 많은 시간지나면이별할 수조차 없겠죠하늘이 보내준 내 사랑을그토록 애태워 찾은 사랑을더는 이해시킬 힘도참아낼 힘도남아있지 않아 떠난 그댈 또남아있지 않아 떠난 그댈 또보내요,13194,879
김동률,오래된 노래,2008-01-24,우연히 찾아낸낡은 테입속의 노랠 들었어서투른 피아노 풋풋한 목소리수많은 추억에 웃음 짓다언젠가 너에게생일 선물로 만들어준 노래촌스런 반주에 가사도 없지만넌 아이처럼 기뻐했었지진심이 담겨서나의 맘이 다 전해진다며가끔 흥얼거리며눈물을 흘리기도 했지오래된 테입속에 그 때의 내가참 부러워서 그리워서울다가 웃다가 그저 하염없이이 노랠 듣고만 있게 돼 바보처럼널 떠나보내고거짓말처럼 시간이 흘러서너에게 그랬듯 사람들 앞에서내 노랠 들려주게 되었지참 사랑했다고아팠다고 그리워한다고우리 지난 추억에기대어 노래할 때마다네 맘이 어땠을까 라디오에서길거리에서 들었을 때부풀려진 맘과꾸며진 말들로 행여널 두 번 울렸을까 참 미안해이렇게라도 다시너에게 닿을까 모자란 마음에모질게 뱉어냈던 말들에그 얼마나 힘들어했을지오래된 테입속에 그 때의 내가참 부러워서 그리워서울다가 웃다가 그저 하염없이이 노랠 듣고만 있게 돼 바보처럼,81081,880
카더가든,아무렇지 않은 사람,2021-01-28,그대의 마음이변하지 않을 거라는믿음과나 바라왔던 그품 속과 사랑의 평온그대는왜 내게 줬나요아무렇지 않은 사람이 될게요아무런 일도 없던 것처럼감은 눈을 뜨면 너무 아픈 마음도담대히 버텨낼 수 있기를우연의 시작을믿을 수 있게 되었고 믿었죠고맙지 않아요홀로 서 모든 아픔을견뎌내는 나인데아무렇지 않은 사람이 될게요아무런 일도 없던 것처럼감은 눈을 뜨면 너무 아픈 마음도담대히 버텨낼 수 있기를그 많은 시간 속에서나란히 서 있던 우리 모습은다 뭔가요기억 못 할 거면서날 지워버릴 거면서아무렇지 않은 사람 난 못돼요아프고 원망스러우니까아무렇지 않게 그대는 가셔요절대로 돌아보지 말고서다시는 열지 않으려옛 시간을 거꾸로돌려 봐요 마지막일 거예요숨죽여 울던 어제도우리 자욱이겠죠너무나도 아름다워 슬퍼요,20025,881
씨야,결혼할까요,2007-05-25,I love you I love you I love you I love you I love you I love you 그대의 작은 목소린 무엇보다 내게 큰 힘이 돼죠 세상을 등지고 싶을때 그대의 작은 어깨에 기댈때면 난 다시 꿈을 꾸죠 희망이란 놈을 찾죠 내 두 눈에 항상 그댈 담고 싶네요 사랑해 i love u 푸른 하늘 보다 더 넓은 바다 보다 더 그댈 사랑 할 수 있는 나에요 i love u 세상 어떤 말도 부족하지만 그대에게 전하고 싶은 말 그대를 사랑할께요 영원히 지켜줄께요 처음과 같은 맘을 매일 선물할께요 한 여름날에 눈이 내릴때까지 나의 사랑 변하지는 않아요 평생 행복을 안겨줄 소중한 사람이에요 지금 꼭 잡은 두 손 다시는 놓치지 마요 약속해줘요 항상 같은 자리에 나와 함께 하기를 알고있나요 그대 때문에 사랑하는 법을 배웠어요 우는것조차 모르던 내가 당신이 아파 할때면 눈물이 나요 아프지 마요 언제나 웃어요 약속할께요 그대만을 사랑해요 My Lover Lover 너무 감동되죠 I love u 거친 파도가 와도 먹구름 밀려와도 내 사랑은 그대와 함께하죠 I love u 어두운 밤에 그대 길 잃어도 내 사랑이 환하게 비추죠 그대를 사랑할게요 영원히 지켜줄게요 처음과 같은 맘을 매일 선물 할께요 한 여름날에 눈이 내릴때까지 나의 사랑 변하지는 않아요 평생 행복을 안겨줄 소중한 사람이에요 지금 꼭 잡은 두 손 다시는 놓치지 마요 약속해줘요 항상 같은 자리에 나와 함께 하기를 나나나나나 나나 나나나나나 나나 나나나나나 그댈 사랑해요 서쪽 하늘에 해가 뜨는날까지 그대만을 사랑하고 싶어요 내 행복을 다 잃어도 세상 눈물 다 가져도 지금 꼭 잡은 두 손 다시는 놓치지 마요 약속할께요 세상 누구 보다 더 그댈 사랑할께요 I love you I love you I love you I love you I love you I love you,8225,882
윤미래,너를 사랑해,2014-08-27,오랜시간 함께라서 내 친구로 난 너무도 편했었어 이게 사랑인줄 모르고 지냈어 그래 그래왔어 널 못보면 보고 싶고 내 꿈속에 니가 자꾸만 나타나고 매일 잠도 못자 눈물로 지냈어 너의 거절이 난 두려워서 오늘도 또 또 못하는 그말 집앞에 서서 준비했던 말 나 꿈에서라도 그 꿈에서라도 너의 눈을 보며 고백하고 싶은 소중한 말 내일은 정말 꼭꼭 해보고 싶은말 용기조차 없어 못했던 말 나는 겁이 나서 너무 무서워서 니가 멀어질까 오랫동안 못했던 말 너를 사랑해 가끔 너는 술에 취해 늦은밤 날 보고 싶다는 말을 하고 밤새 설레임에 나는 잠도 못자 너는 술김에 한 말이지만 오늘도 또 또 못하는 그 말 집앞에 서서 준비했던 말 나 꿈에서라도 그 꿈에서라도 너의 눈을 보며 고백하고 싶은 소중한 말 너를 사랑해 이렇게 아플줄 알았다면 시작하지도 말걸 오늘도 난 이렇게 눈물만 오늘도 또 또 못하는 그 말 눈물로 또 또 고백하는 말 나는 널 사랑해 내가 널 사랑해 작은 목소리로 고백하는 오래된 혼잣말 내일은 정말 꼭꼭 해보고 싶은 말 용기조차 없어 못했던 말 나는 겁이 나서 너무 무서워서 니가 멀어질까 오랫동안 못했던 말너를 사랑해,85288,883
송하예,마음이 다쳐서(2021),2021-05-16,아무말도 없이 날 바라보는게뭔가 이상해서 두귀를 막았어내눈에 보이는 너의 입모양이헤어지자는 말인거 같아서어느새 또 눈물이 내 발등을 적시고너무 창피해서 고개를 숙였어오 제발 이러지 말라고날 떠나지 말라고오늘 처음으로 니 앞에서 울었어마음이 다쳐서 숨도 못 쉬겠어심장에 번져서 죽을만큼 아파계속 아파병원에 가도내가 아픈 이유조차 찾지 못했어마음이 다쳐서문득 거울을 봤어거울 속에 비친 내 모습 보면서오늘 딱 하루만 울자고널 비워낼 거라고마지막으로 혼자 술을 마셨어마음이 다쳐서 숨도 못 쉬겠어심장에 번져서 죽을만큼 아파계속 아파병원에 가도내가 아픈 이유조차 찾지 못했어마음이 다쳐서처음부터 우리가 만나지 않았다면이렇게 아프진 않았을텐데내 몸이 다치면 아물긴 할텐데마음을 다쳐서눈물병이 걸려 낫질 않아밥을 먹어도이제 밥인지 눈물인지 모를만큼마음이 다쳐서너의 입모양이헤어지잔말은 아니길 바랬어오 제발 이러지 말라고날 떠나지 말라고오늘 처음으로 니 앞에서 울었어,12255,884
정승환,Belief,2021-10-09,여기에 내가 있어난 변한 게 없는걸마음이 원하는 말을 잘 알아대답할게고요한 밤이 좋아늘 도망을 가듯이새벽을 걸으며 발끝이 닿는 곳그 어디쯤에 멈춰꿈 파도와 모래매일 같이 부서져 흩날리고 있는 나초라한 낭만 나만의 festivalOh love작은 주먹에 가득 찬 이 사랑이널 기쁘게 하기를외로운 것도 익숙해지니까괜찮아 난하필 라디오 속에서 흘러나오는 노래가가장 아름답게빛나던 시절에 나를 데려오면웃다가도 숨고 싶고 돌리고 싶어잠자리에 누워 얼굴까지 당겨긴 하루를 덮으면love 파도와 모래매일 같이 부서져 흩날리고 있는 내게아닌척해도 숨길 수 없는 걸Oh love작은 주먹에 가득 찬 이 사랑이너를 기쁘게 할 수 있다면다시 한번만 기회가 있을까 내게,10590,885
지아,물끄러미,2007-07-16,오늘은 좀 나을거야 널 보낸 어제보다 누구나 이별은 하잖아 걱정마 사실은 나 자신없어 니가 없는 하루는.. 아무것도 못할테니까 지나가는 사람들이 다 너처럼 보이는걸 힘이 풀려서 주저앉아 울고말았어 사랑했잖아 나밖에 몰랐잖아 왜 날 이렇게 아프게 해 나 없이는 못산다 했잖아 아니야 나 때문이야 너를 너무 사랑해서 그래 모두 내잘못이야 이제 사랑같은거 나 하지 않을래 두번 다시 밤새도록 울기만 했어 미치도록 아파서 못견딜만큼 나 니가 너무 그리워서 사랑했잖아 나밖에 몰랐잖아 왜 날 이렇게 아프게 해 나없이는 못산다 했잖아 아냐 나 때문이야 너를 너무 사랑해서 그래 모두 내잘못이야 이제 사랑같은거 나하지 않을래 사랑따윈 모른체 산다는게 없던 일로 한다는게 정말 넌 그게 되니 사랑했는데 우리 좋았었는데 다른 사랑과 달랐는데 왜 날 흔한 사람을 만들어 니가 떠날거라면 돌아올거 아니라면 작은 기대조차 주지마 너에겐 쉬운 사랑이 나 한사람에겐 전부니까..,24439,886
윤도 (YoonDo),12월의 어느 겨울…,2020-12-26,십이월의 어느 겨울밤하얀 첫눈이 올 때쯤내려오는 눈꽃을 보며걷고 싶어 너와 함께온통 너로 가득 채운 밤나의 모든 순간들이네가 왔던 날의 그때처럼다시 돌아온다면아름다웠던 그날의 그 순간들이흩어지고 녹아 번져 사라지는데나는 아직도 여전히 그 시간 속에세상이 멈춘 듯 이렇게 남아 있는데그대로인데 이렇게네가 내게 줬던 모든 거하나도 버리질 못하고전부다 내 잘못이였다고수백 번 되뇌이고 소리치는데아름다웠던 그날의 그 순간들이흩어지고 녹아 번져 사라지는데나는 아직도 여전히 그 시간 속에세상이 멈춘 듯 이렇게 남아 있는데그대로인데 이렇게사랑했던 너의 모습이찬란했던 우리 추억이아직 남아 내 곁을 맴돌아하루도 살 수 없는데가득 내렸던 그날의 모든 순간이흩어지고 녹아 번져 사라지는데바래져가는 그날의 그 시간들이모두 다 사라지기 전에돌아와 제발 돌아와 제발 나에게,24256,887
전철민,마지막이 될 줄 몰랐어,2022-03-30,덤덤한 말투와 알 수 없는 네 표정이하루 종일 괜히 불안했었나 봐왜 그런지 물어봐도 잘 모르겠다고말하는 널 그저 바라볼 수밖에 없었어별일 아닌 듯 너에게 미안하다고말을 해도 차갑던 네 모습안녕 끝인사 하고 돌아서는 너난 아무것도 할 수 없었어똑같은 하루를 사는 게 익숙한 우리로사는 게 마지막이 될 줄은 몰랐었는데더 잘해주지 못했나 봐 그랬었나 봐너 없는 하루를 사는 게 믿어지질 않아우리 좋았었던 만큼 얼마나 아파야사랑했던 널 지울 수 있을까안녕 매일 웃으며 인사하는 널이제는 정말 볼 수 없나 봐똑같은 하루를 사는 게 익숙한 우리로사는 게 마지막이 될 줄은 몰랐었는데더 잘해주지 못했나 봐 그랬었나 봐너 없는 하루를 사는 내게 넌 매일습관처럼 선명하게 떠올라아무것도 난 버릴 수가 없나 봐행복했던 그날이 날 사랑 한단 그 말이내게 남아서 보낼 수 없나 봐똑같은 하루를 사는 게 너 없는 하루를사는 게 더는 내게 아무런 의미가 없어정말 좋았던 기억들만 남아 있나 봐사랑했었던 너와의 하루가 그리워,1935,888
임한별,희재,2018-10-26,햇살은 우릴 위해 내리고바람도 서롤 감싸게 했죠우리 웃음속에 계절은 오고 또 갔죠바람에 흔들리는 머릿결내게 불어오는 그대 향기예쁜 두눈도 웃음 소리도모두 다 내 것이었죠이런 사랑 이런 행복 쉽다 했었죠이런 웃음 이런 축복내게 쉽게 올리 없죠눈물 조차 울음조차 닦지 못한 나정말로 울면내가 그댈 보내 준 것 같아서그대 떠나가는 그 순간도나를 걱정했었나요무엇도 해줄 수 없는 내 맘 앞에서그대 나를 떠나 간다해도난 그댈 보낸적 없죠여전히 그댄나를 살게 하는 이유일테니이런 사랑 이런 행복 쉽다 했었죠이런 웃음 이런 축복내게 쉽게 올리 없죠눈물 조차 울음 조차 닦지 못한 나정말로 울면내가 그댈 보내 준 것 같아서그대 떠나가는 그 순간도나를 걱정했었나요무엇도 해줄 수 없는 내 맘앞에서그대 나를 떠나 간다해도난 그댈 보낸적 없죠기다림으로 다시 시작일테니얼마나 사랑했는지얼마나 또 울었는지그대여 한순간 조차 잊지 말아요거기 떠나간 그곳에서늘 기억하며 기다려요하루씩 그대에게 다가가는 나일테니,21136,889
